event_type,event_date,day,car
spike,2008-06-11,1,-0.05206696812272436
spike,2008-06-11,2,-0.112036805160449
spike,2008-06-11,3,-0.08338559269778086
spike,2008-06-11,4,-0.04280795632112071
spike,2008-06-11,5,0.005502475083559638
spike,2008-06-11,6,-0.012715085064490816
spike,2008-06-11,7,0.12158523058689327
spike,2008-06-11,8,0.07288142943385376
spike,2008-06-11,9,-0.03542159402902917
spike,2008-06-11,10,-0.019136423340074444
spike,2008-06-11,11,-0.011632782203253051
spike,2008-06-11,12,0.0357792365346534
spike,2008-06-11,13,0.050918940263082746
spike,2008-06-11,14,0.056040920801667546
spike,2008-06-11,15,0.015241437620563965
spike,2008-06-11,16,-0.009148973689423197
spike,2008-06-11,17,-0.005533297143901388
spike,2008-06-11,18,0.0450988779706673
spike,2008-06-11,19,0.11728688898720388
spike,2008-06-11,20,0.12212448164609438
spike,2008-09-22,1,-0.03474216077820495
spike,2008-09-22,2,0.00011933900361316141
spike,2008-09-22,3,-0.09117595164350975
spike,2008-09-22,4,-0.14746547747935007
spike,2008-09-22,5,-0.2034736265792933
spike,2008-09-22,6,-0.09874700337512446
spike,2008-09-22,7,-0.169270037105252
spike,2008-09-22,8,-0.09899634960766424
spike,2008-09-22,9,-0.08181424733841791
spike,2008-09-22,10,-0.10832554637102848
spike,2008-09-22,11,-0.11895470077277852
spike,2008-09-22,12,-0.1879855149604125
spike,2008-09-22,13,-0.22707706308629821
spike,2008-09-22,14,-0.11634731932210664
spike,2008-09-22,15,0.004667109479345191
spike,2008-09-22,16,-0.09826030740015025
spike,2008-09-22,17,-0.08821569538576736
spike,2008-09-22,18,0.07312562815374539
spike,2008-09-22,19,0.17499206629754016
spike,2008-09-22,20,0.22379617921492453
spike,2008-11-04,1,-0.0756752473685871
spike,2008-11-04,2,-0.08926484345182356
spike,2008-11-04,3,-0.10260610484571009
spike,2008-11-04,4,-0.13928771841337245
spike,2008-11-04,5,-0.17585372625432616
spike,2008-11-04,6,-0.17438855067350928
spike,2008-11-04,7,-0.33918920978295547
spike,2008-11-04,8,-0.2748146970344765
spike,2008-11-04,9,-0.30692934001524175
spike,2008-11-04,10,-0.2637706866854289
spike,2008-11-04,11,-0.2792285704715887
